('undynamic', [0.0, 0.3333333333333333, 0.0, 0.3333333333333333, '#scared', '#disgusting', 'negetive', -0.625])
('louder', [0.0, 0.2, 0.0, 0.2, '#scared', '#disgusting', 'negetive', -1.0])
('blaspheme', [0.0, 0.16666666666666666, 0.0, 0.16666666666666666, '#scared', '#disgusting', 'negetive', -1.0])
('rusts', [0.0, 0.07142857142857142, 0.0, 0.07142857142857142, '#scared', '#disgusting', 'negetive', -1.0])
('haughtily', [0.0, 0.2, 0.0, 0.2, '#scared', '#disgusting', 'negetive', -1.0])
('even', [0.0, 0.2, 0.18181818181818182, 0.0, '#interesting', '#interesting', 'positive', 0.25])
('gawky', [0.0, 0.2, 0.0, 0.2, '#scared', '#disgusting', 'negetive', -1.0])
('errors', [0.0, 0.09090909090909091, 0.0, 0.09090909090909091, '#scared', '#disgusting', 'negetive', -1.0])
('self-determination', [0.0, 0.1, 0.09090909090909091, 0.0, '#interesting', '#interesting', 'positive', 1.0])
('unlisted', [0.0, 0.3333333333333333, 0.0, 0.3333333333333333, '#scared', '#disgusting', 'negetive', -0.75])
('selected', [0.0, 0.4, 0.3333333333333333, 0.0, '#interesting', '#interesting', 'positive', 0.125])
('revolutionize', [0.0, 0.25, 0.2, 0.0, '#interesting', '#interesting', 'positive', 1.0])
('unpreventable', [0.0, 0.3333333333333333, 0.0, 0.3333333333333333, '#scared', '#disgusting', 'negetive', -0.125])
('bipolar', [0.0, 0.3333333333333333, 0.0, 0.3333333333333333, '#scared', '#disgusting', 'negetive', -0.375])
('irrevocable', [0.0, 0.3333333333333333, 0.0, 0.3333333333333333, '#scared', '#disgusting', 'negetive', -0.75])
('millenarian', [0.0, 0.16666666666666666, 0.0, 0.16666666666666666, '#scared', '#disgusting', 'negetive', -0.25])
('stooges', [0.0, 0.09090909090909091, 0.0, 0.09090909090909091, '#scared', '#disgusting', 'negetive', -1.0])
('gemmiferous', [0.0, 0.5, 0.4, 0.0, '#interesting', '#interesting', 'positive', 0.125])
('nonarbitrable', [0.0, 0.3333333333333333, 0.0, 0.3333333333333333, '#scared', '#disgusting', 'negetive', -0.625])
('ultimatums', [0.0, 0.09090909090909091, 0.0, 0.09090909090909091, '#scared', '#disgusting', 'negetive', -1.0])
('ulterior', [0.0, 0.2, 0.0, 0.2, '#scared', '#disgusting', 'negetive', -1.0])
('disposable', [0.0, 0.2222222222222222, 0.2, 0.0, '#interesting', '#interesting', 'positive', 0.5])
('unexhausted', [0.0, 0.5, 0.4, 0.0, '#interesting', '#interesting', 'positive', 0.125])
('anticlimactic', [0.0, 0.5, 0.4, 0.0, '#interesting', '#interesting', 'positive', 0.125])
('niggles', [0.0, 0.16666666666666666, 0.0, 0.16666666666666666, '#scared', '#disgusting', 'negetive', -1.0])
('uncrystallized', [0.0, 0.3333333333333333, 0.0, 0.3333333333333333, '#scared', '#disgusting', 'negetive', -0.5])
('fissures', [0.0, 0.08333333333333333, 0.0, 0.08333333333333333, '#scared', '#disgusting', 'negetive', -1.0])
('wastefulness', [0.0, 0.07142857142857142, 0.0, 0.07142857142857142, '#scared', '#disgusting', 'negetive', -1.0])
('aural', [0.0, 0.5, 0.4, 0.0, '#interesting', '#interesting', 'positive', 0.125])
('recessive', [0.0, 0.13333333333333333, 0.0, 0.13333333333333333, '#scared', '#disgusting', 'negetive', -0.25])
('self-induced', [0.0, 0.5, 0.4, 0.0, '#interesting', '#interesting', 'positive', 0.25])
('kudos', [0.0, 0.125, 0.1111111111111111, 0.0, '#interesting', '#interesting', 'positive', 1.0])
('uplifting', [0.0, 0.09090909090909091, 0.08333333333333333, 0.0, '#interesting', '#interesting', 'positive', 1.0])
('amoristic', [0.0, 0.5, 0.4, 0.0, '#interesting', '#interesting', 'positive', 0.5])
('oasis', [0.0, 0.1, 0.09090909090909091, 0.0, '#interesting', '#interesting', 'positive', 1.0])
('unprintable', [0.0, 0.5, 0.4, 0.0, '#interesting', '#interesting', 'positive', 0.5])
('fissile', [0.0, 0.5, 0.4, 0.0, '#interesting', '#interesting', 'positive', 0.375])
('well-bred', [0.0, 0.3333333333333333, 0.25, 0.0, '#interesting', '#interesting', 'positive', 1.0])
('unkindly', [0.0, 0.2, 0.0, 0.2, '#scared', '#disgusting', 'negetive', -1.0])
('superstitious', [0.0, 0.2, 0.0, 0.2, '#scared', '#disgusting', 'negetive', -1.0])
('gauguinesque', [0.0, 0.5, 0.4, 0.0, '#interesting', '#interesting', 'positive', 0.25])
('advantages', [0.0, 0.125, 0.1111111111111111, 0.0, '#interesting', '#interesting', 'positive', 1.0])
('shallow-draft', [0.0, 0.3333333333333333, 0.0, 0.3333333333333333, '#scared', '#disgusting', 'negetive', -0.375])
('hydrophobic', [0.0, 0.3333333333333333, 0.0, 0.3333333333333333, '#scared', '#disgusting', 'negetive', -0.625])
('matchless', [0.0, 0.3333333333333333, 0.25, 0.0, '#interesting', '#interesting', 'positive', 1.0])
('cushy', [0.0, 0.3333333333333333, 0.25, 0.0, '#interesting', '#interesting', 'positive', 1.0])
('discontinuous', [0.0, 0.2, 0.0, 0.2, '#scared', '#disgusting', 'negetive', -1.0])
('inhospitality', [0.0, 0.08333333333333333, 0.0, 0.08333333333333333, '#scared', '#disgusting', 'negetive', -1.0])
('inequitably', [0.0, 0.2, 0.0, 0.2, '#scared', '#disgusting', 'negetive', -1.0])
('immiscible', [0.0, 0.3333333333333333, 0.0, 0.3333333333333333, '#scared', '#disgusting', 'negetive', -0.25])
('modulated', [0.0, 0.2857142857142857, 0.25, 0.0, '#interesting', '#interesting', 'positive', 0.625])
('ridicules', [0.0, 0.1, 0.0, 0.1, '#scared', '#disgusting', 'negetive', -1.0])
('unsinkable', [0.0, 0.3333333333333333, 0.0, 0.3333333333333333, '#scared', '#disgusting', 'negetive', -0.625])
('romantically', [0.0, 0.3333333333333333, 0.25, 0.0, '#interesting', '#interesting', 'positive', 1.0])
('well-balanced', [0.0, 0.3333333333333333, 0.25, 0.0, '#interesting', '#interesting', 'positive', 1.0])
('unmyelinated', [0.0, 0.3333333333333333, 0.0, 0.3333333333333333, '#scared', '#disgusting', 'negetive', -0.125])
('scarier', [0.0, 0.2, 0.0, 0.2, '#scared', '#disgusting', 'negetive', -1.0])
('overheat', [0.0, 0.125, 0.0, 0.125, '#scared', '#disgusting', 'negetive', -1.0])
('unfunded', [0.0, 0.2, 0.0, 0.2, '#scared', '#disgusting', 'negetive', -1.0])
('ratty', [0.0, 0.3333333333333333, 0.0, 0.3333333333333333, '#scared', '#disgusting', 'negetive', -0.125])
('detesting', [0.0, 0.16666666666666666, 0.0, 0.16666666666666666, '#scared', '#disgusting', 'negetive', -1.0])
('impartiality', [0.0, 0.1111111111111111, 0.1, 0.0, '#interesting', '#interesting', 'positive', 1.0])
('ploy', [0.0, 0.09090909090909091, 0.0, 0.09090909090909091, '#scared', '#disgusting', 'negetive', -1.0])
('quibbles', [0.0, 0.07692307692307693, 0.0, 0.07692307692307693, '#scared', '#disgusting', 'negetive', -1.0])
('lossy', [0.0, 0.3333333333333333, 0.0, 0.3333333333333333, '#scared', '#disgusting', 'negetive', -0.375])
('leaks', [0.0, 0.08333333333333333, 0.0, 0.08333333333333333, '#scared', '#disgusting', 'negetive', -1.0])
('unreserved', [0.0, 0.3333333333333333, 0.0, 0.3333333333333333, '#scared', '#disgusting', 'negetive', -0.125])
('imperialist', [0.0, 0.07692307692307693, 0.0, 0.07692307692307693, '#scared', '#disgusting', 'negetive', -1.0])
('nonreflective', [0.0, 0.3333333333333333, 0.0, 0.3333333333333333, '#scared', '#disgusting', 'negetive', -0.625])
('plagiarize', [0.0, 0.14285714285714285, 0.0, 0.14285714285714285, '#scared', '#disgusting', 'negetive', -1.0])
('detracts', [0.0, 0.125, 0.0, 0.125, '#scared', '#disgusting', 'negetive', -1.0])
('macerative', [0.0, 0.3333333333333333, 0.0, 0.3333333333333333, '#scared', '#disgusting', 'negetive', -0.5])
('backless', [0.0, 0.3333333333333333, 0.0, 0.3333333333333333, '#scared', '#disgusting', 'negetive', -0.25])
('unstimulating', [0.0, 0.3333333333333333, 0.0, 0.3333333333333333, '#scared', '#disgusting', 'negetive', 0.0])
('sobering', [0.0, 0.16666666666666666, 0.0, 0.16666666666666666, '#scared', '#disgusting', 'negetive', -1.0])
('rimless', [0.0, 0.3333333333333333, 0.0, 0.3333333333333333, '#scared', '#disgusting', 'negetive', -0.125])
('harmless', [0.0, 0.3333333333333333, 0.25, 0.0, '#interesting', '#interesting', 'positive', 1.0])
('diatribes', [0.0, 0.08333333333333333, 0.0, 0.08333333333333333, '#scared', '#disgusting', 'negetive', -1.0])
('unraveled', [0.0, 0.125, 0.0, 0.125, '#scared', '#disgusting', 'negetive', -1.0])
('striving', [0.0, 0.1, 0.09090909090909091, 0.0, '#interesting', '#interesting', 'positive', 1.0])
('overrun', [0.0, 0.06666666666666667, 0.0, 0.06666666666666667, '#scared', '#disgusting', 'negetive', -1.0])
('cheapest', [0.0, 0.3333333333333333, 0.25, 0.0, '#interesting', '#interesting', 'positive', 1.0])
('tremendously', [0.0, 0.3333333333333333, 0.25, 0.0, '#interesting', '#interesting', 'positive', 1.0])
('worn', [0.0, 0.2, 0.0, 0.2, '#scared', '#disgusting', 'negetive', -1.0])
('deficiencies', [0.0, 0.09090909090909091, 0.0, 0.09090909090909091, '#scared', '#disgusting', 'negetive', -1.0])
('criticizing', [0.0, 0.1111111111111111, 0.0, 0.1111111111111111, '#scared', '#disgusting', 'negetive', -1.0])
('calciferous', [0.0, 0.5, 0.4, 0.0, '#interesting', '#interesting', 'positive', 0.375])
('unmarked', [0.0, 0.3333333333333333, 0.0, 0.3333333333333333, '#scared', '#disgusting', 'negetive', -0.625])
('ratlike', [0.0, 0.3333333333333333, 0.0, 0.3333333333333333, '#scared', '#disgusting', 'negetive', -0.125])
('leonardesque', [0.0, 0.5, 0.4, 0.0, '#interesting', '#interesting', 'positive', 0.375])
('refuted', [0.0, 0.1111111111111111, 0.0, 0.1111111111111111, '#scared', '#disgusting', 'negetive', -1.0])
('vehemently', [0.0, 0.2, 0.0, 0.2, '#scared', '#disgusting', 'negetive', -1.0])
('allantoic', [0.0, 0.5, 0.4, 0.0, '#interesting', '#interesting', 'positive', 0.25])
('fanciful', [0.0, 0.2, 0.0, 0.2, '#scared', '#disgusting', 'negetive', -1.0])
('tomentose', [0.0, 0.3333333333333333, 0.0, 0.3333333333333333, '#scared', '#disgusting', 'negetive', -0.25])
('flairs', [0.0, 0.07692307692307693, 0.0, 0.07692307692307693, '#scared', '#disgusting', 'negetive', -1.0])
